,link,text,user,date,likes,quotes,retweets,comments
0,https://twitter.com/BJP4India/status/1775752800288280728#m,Why NaMo Again? ðŸª·  To up Bharat's Game! ðŸ‡®ðŸ‡³,BJP,"Apr 4, 2024 Â· 5:10 AM UTC",469,18,164,64
1,https://twitter.com/BJP4India/status/1775748510790320362#m,"BJP National Spokesperson Dr. @SudhanshuTrived addresses press conference at BJP headquarters, New Delhi. https://twitter.com/i/broadcasts/1yoJMwpDPEnKQ",BJP,"Apr 4, 2024 Â· 4:53 AM UTC",435,6,153,41
2,https://twitter.com/BJP4India/status/1775727492101243311#m,"à¤¦à¥‡à¤¶ à¤•à¤¾ à¤¤à¥€à¤µà¥à¤° à¤—à¤¤à¤¿ à¤¸à¥‡ à¤µà¤¿à¤•à¤¾à¤¸, à¤—à¤°à¥€à¤¬à¥‹à¤‚ à¤”à¤° à¤µà¤‚à¤šà¤¿à¤¤à¥‹à¤‚ à¤•à¥‡ à¤¸à¤®à¥à¤®à¤¾à¤¨ à¤¸à¥‡ à¤²à¥‡à¤•à¤° à¤•à¤¿à¤¸à¤¾à¤¨à¥‹à¤‚, à¤¯à¥à¤µà¤¾à¤“à¤‚ à¤”à¤° à¤®à¤¹à¤¿à¤²à¤¾à¤“à¤‚ à¤•à¥‡ à¤¸à¤¶à¤•à¥à¤¤à¤¿à¤•à¤°à¤£ à¤¤à¤•...   à¤®à¥‹à¤¦à¥€ à¤¸à¤°à¤•à¤¾à¤° à¤¸à¥‡ à¤œà¥à¤¡à¤¼à¥€ à¤¹à¤° à¤–à¤¬à¤° à¤¸à¥‡ à¤…à¤ªà¤¡à¥‡à¤Ÿà¥‡à¤¡ à¤°à¤¹à¤¨à¥‡ à¤•à¥‡ à¤²à¤¿à¤ à¤ªà¤¢à¤¼à¤¤à¥‡ à¤°à¤¹à¥‡à¤‚ à¤•à¤®à¤² à¤¸à¤‚à¤¦à¥‡à¤¶ - kamalsandesh.org",BJP,"Apr 4, 2024 Â· 3:30 AM UTC",955,11,381,84
3,https://twitter.com/BJP4India/status/1775712392632062334#m,à¤‡à¤¸à¤²à¤¿à¤ à¤®à¥‹à¤¦à¥€ à¤œà¤°à¥‚à¤°à¥€ à¤¹à¥ˆ...  à¤…à¤¨à¥à¤šà¥à¤›à¥‡à¤¦ 370 à¤¹à¤Ÿà¤¾à¤•à¤° à¤œà¤®à¥à¤®à¥‚-à¤•à¤¶à¥à¤®à¥€à¤° à¤•à¥‹ à¤­à¤¾à¤°à¤¤ à¤•à¤¾ à¤…à¤­à¤¿à¤¨à¥à¤¨ à¤…à¤‚à¤— à¤¬à¤¨à¤¾à¤¯à¤¾à¥¤,BJP,"Apr 4, 2024 Â· 2:30 AM UTC",1627,16,487,332
4,https://twitter.com/BJP4India/status/1775553047906669020#m,à¤®à¥‹à¤¦à¥€ à¤œà¥€ à¤œà¥ˆà¤¸à¤¾ à¤ªà¥à¤°à¤§à¤¾à¤¨à¤®à¤‚à¤¤à¥à¤°à¥€ à¤¦à¥à¤°à¥à¤²à¤­ à¤¹à¥€ à¤®à¤¿à¤²à¤¤à¤¾ à¤¹à¥ˆ!  à¤¸à¤°à¤•à¤¾à¤° à¤•à¥€ à¤•à¤²à¥à¤¯à¤¾à¤£à¤•à¤¾à¤°à¥€ à¤¯à¥‹à¤œà¤¨à¤¾à¤“à¤‚ à¤¸à¥‡ à¤–à¥à¤¶ à¤œà¤¨à¤¤à¤¾ à¤¤à¥€à¤¸à¤°à¥€ à¤¬à¤¾à¤° à¤®à¥‹à¤¦à¥€ à¤¸à¤°à¤•à¤¾à¤° à¤¬à¤¨à¤¾à¤¨à¥‡ à¤•à¥‹ à¤†à¤¤à¥à¤° à¤¹à¥ˆà¥¤  #PhirEkBaarModiSarkar,BJP,"Apr 3, 2024 Â· 3:56 PM UTC",1723,25,600,187
5,https://twitter.com/BJP4India/status/1775544786998776191#m,"à¤­à¤¾à¤œà¤ªà¤¾ à¤°à¤¾à¤·à¥à¤Ÿà¥à¤°à¥€à¤¯ à¤…à¤§à¥à¤¯à¤•à¥à¤· à¤¶à¥à¤°à¥€ @JPNadda à¤¨à¥‡ à¤®à¤§à¥à¤¯ à¤ªà¥à¤°à¤¦à¥‡à¤¶ à¤•à¥‡ à¤‡à¤‚à¤¦à¥Œà¤°, à¤§à¤¾à¤°, à¤–à¤£à¥à¤¡à¤µà¤¾, à¤–à¤°à¤—à¥Œà¤¨  à¤µ à¤°à¤¤à¤²à¤¾à¤® à¤•à¥à¤·à¥‡à¤¤à¥à¤°à¥‹à¤‚ à¤•à¥€ à¤•à¥à¤²à¤¸à¥à¤Ÿà¤° à¤¬à¥ˆà¤ à¤• (à¤•à¥‹à¤° à¤•à¤®à¥‡à¤Ÿà¥€) à¤•à¤° à¤­à¤¾à¤œà¤ªà¤¾ à¤•à¤¾à¤°à¥à¤¯à¤•à¤°à¥à¤¤à¤¾à¤“à¤‚ à¤”à¤° à¤ªà¤¦à¤¾à¤§à¤¿à¤•à¤¾à¤°à¤¿à¤¯à¥‹à¤‚ à¤•à¤¾ à¤®à¤¾à¤°à¥à¤—à¤¦à¤°à¥à¤¶à¤¨ à¤•à¤¿à¤¯à¤¾à¥¤",BJP,"Apr 3, 2024 Â· 3:23 PM UTC",1345,2,330,29
6,https://twitter.com/BJP4India/status/1775539827263279555#m,"The latest edition of the ðŠðšð¦ðšð¥ ð’ðšð§ððžð¬ð¡ is out! ðŸª·  Themed 'ð‡ðšð¦ðšð«ðš ð’ðšð§ð¤ðšð¥ð©, ð•ð¢ð¤ð¬ð¢ð­ ðð¡ðšð«ðšð­', this edition encapsulates the splendid journey of Bharat's inclusive and holistic development during the last decade.  Dive into the measures taken for farmer welfare, Nari Shakti empowerment, infra development and much more.  Follow @KamalSandesh for more updates.",BJP,"Apr 3, 2024 Â· 3:04 PM UTC",1329,13,500,153
7,https://twitter.com/BJP4India/status/1775526266386497556#m,à¤­à¤¾à¤œà¤ªà¤¾ à¤°à¤¾à¤·à¥à¤Ÿà¥à¤°à¥€à¤¯ à¤…à¤§à¥à¤¯à¤•à¥à¤· à¤¶à¥à¤°à¥€ @JPNadda à¤•à¥€ 4 à¤…à¤ªà¥à¤°à¥ˆà¤² à¤•à¥‹ à¤‰à¤¤à¥à¤¤à¤°à¤¾à¤–à¤‚à¤¡ à¤®à¥‡à¤‚ à¤œà¤¨à¤¸à¤­à¤¾à¤à¤‚à¥¤   à¤²à¤¾à¤‡à¤µ à¤¦à¥‡à¤–à¥‡à¤‚ :  ðŸ“ºhttps://twitter.com/BJP4India ðŸ“ºfacebook.com/BJP4India ðŸ“ºyoutube.com/BJP4India ðŸ“ºbjp.org/bjplive,BJP,"Apr 3, 2024 Â· 2:10 PM UTC",391,1,182,19
8,https://twitter.com/BJP4India/status/1775511622255010116#m,"à¤¬à¥€à¤¤à¥‡ 10 à¤¸à¤¾à¤² à¤®à¥‡à¤‚ à¤œà¥‹ à¤¹à¥à¤† à¤µà¥‹ à¤¤à¥‹ à¤¸à¤¿à¤°à¥à¤« à¤Ÿà¥à¤°à¥‡à¤²à¤° à¤¹à¥ˆ, à¤…à¤­à¥€ à¤¤à¥‹ à¤¬à¤¹à¥à¤¤ à¤•à¥à¤› à¤•à¤°à¤¨à¤¾ à¤¹à¥ˆà¥¤ à¤…à¤­à¥€ à¤¤à¥‹ à¤¹à¤®à¥‡à¤‚ à¤¦à¥‡à¤¶ à¤•à¥‹ à¤¬à¤¹à¥à¤¤ à¤†à¤—à¥‡ à¤²à¥‡à¤•à¤° à¤œà¤¾à¤¨à¤¾ à¤¹à¥ˆà¥¤   à¤¬à¥€à¤¤à¥‡ 10 à¤µà¤°à¥à¤·à¥‹à¤‚ à¤®à¥‡à¤‚ à¤•à¥‡à¤‚à¤¦à¥à¤° à¤¸à¤°à¤•à¤¾à¤° à¤¨à¥‡ à¤—à¤°à¥€à¤¬à¥‹à¤‚ à¤•à¤¾ à¤œà¥€à¤µà¤¨ à¤¬à¤¦à¤²à¤¨à¥‡ à¤•à¥‡ à¤²à¤¿à¤ à¤•à¤ˆ à¤¯à¥‹à¤œà¤¨à¤¾à¤à¤‚ à¤²à¤¾à¤—à¥‚ à¤•à¥€ à¤¹à¥ˆà¤‚à¥¤ à¤‰à¤¸à¥€ à¤•à¤¾ à¤ªà¤°à¤¿à¤£à¤¾à¤® à¤¹à¥ˆ à¤•à¤¿ à¤†à¤œ à¤•à¤°à¥€à¤¬ 25 à¤•à¤°à¥‹à¤¡à¤¼ à¤²à¥‹à¤— à¤—à¤°à¥€à¤¬à¥€ à¤¸à¥‡ à¤¬à¤¾à¤¹à¤° à¤†à¤ à¤¹à¥ˆà¤‚à¥¤  à¤¹à¤®à¤¾à¤°à¥€ à¤¨à¥€à¤¯à¤¤ à¤¸à¤¹à¥€ à¤¹à¥ˆ... à¤‡à¤¸à¤²à¤¿à¤ à¤¨à¤¤à¥€à¤œà¥‡ à¤¸à¤¹à¥€ à¤¹à¥ˆà¤‚à¥¤ à¤†à¤œ à¤¬à¤‚à¤—à¤¾à¤² à¤•à¤¾ à¤¹à¤° à¤µà¤°à¥à¤— à¤¹à¤®à¤¾à¤°à¥‡ à¤¸à¤¾à¤¥ à¤¹à¥ˆà¥¤   - à¤ªà¥€à¤à¤® à¤¶à¥à¤°à¥€ @narendramodi   à¤ªà¥‚à¤°à¤¾ à¤¸à¥à¤¨à¥‡à¤‚: https://www.youtube.com/watch?v=4AnNbEJwsC0",BJP,"Apr 3, 2024 Â· 1:12 PM UTC",1524,9,558,89
9,https://twitter.com/BJP4India/status/1775511303940931679#m,"TMC à¤¹à¥‹ à¤¯à¤¾ à¤•à¤¾à¤‚à¤—à¥à¤°à¥‡à¤¸... à¤¸à¤¬ à¤à¤• à¤¹à¥€ à¤¹à¥ˆà¤‚, à¤¸à¤¿à¤°à¥à¤« à¤¦à¤¿à¤–à¤¾à¤µà¥‡ à¤•à¥‡ à¤²à¤¿à¤ à¤²à¤¡à¤¼ à¤°à¤¹à¥‡ à¤¹à¥ˆà¤‚à¥¤ à¤‡à¤¨à¤•à¥€ à¤²à¤¡à¤¼à¤¾à¤ˆ à¤­à¤¾à¤œà¤ªà¤¾ à¤¸à¥‡ à¤¹à¥ˆ, à¤•à¥à¤¯à¥‹à¤‚à¤•à¤¿ à¤­à¤¾à¤œà¤ªà¤¾ à¤¸à¤°à¤•à¤¾à¤° à¤¨à¥‡ à¤‡à¤¨à¤•à¥‡ à¤­à¥à¤°à¤·à¥à¤Ÿà¤¾à¤šà¤¾à¤° à¤ªà¤° à¤¶à¤¿à¤•à¤‚à¤œà¤¾ à¤•à¤¸ à¤¦à¤¿à¤¯à¤¾ à¤¹à¥ˆà¥¤  à¤¯à¥‡ à¤šà¤¾à¤¹à¥‡ à¤œà¤¿à¤¤à¤¨à¥€ à¤¤à¤¾à¤•à¤¤ à¤²à¤—à¤¾ à¤²à¥‡à¤‚, à¤®à¥‹à¤¦à¥€ à¤­à¥à¤°à¤·à¥à¤Ÿà¤¾à¤šà¤¾à¤° à¤ªà¤° à¤•à¤¾à¤°à¥à¤°à¤µà¤¾à¤ˆ à¤°à¥‹à¤•à¤¨à¥‡ à¤µà¤¾à¤²à¤¾ à¤¨à¤¹à¥€à¤‚ à¤¹à¥ˆà¥¤  - à¤ªà¥€à¤à¤® à¤¶à¥à¤°à¥€ @narendramodi   à¤ªà¥‚à¤°à¤¾ à¤¸à¥à¤¨à¥‡à¤‚: youtube.com/watch?v=4AnNbEJwâ€¦",BJP,"Apr 3, 2024 Â· 1:10 PM UTC",1177,9,474,129
10,https://twitter.com/BJP4India/status/1775506826705977573#m,à¤­à¤¾à¤œà¤ªà¤¾ à¤°à¤¾à¤œà¤¸à¥à¤¥à¤¾à¤¨ à¤®à¥‡à¤‚ à¤¸à¤­à¥€ à¤¸à¥€à¤Ÿà¥‹à¤‚ à¤ªà¤° à¤œà¥€à¤¤ à¤•à¥€ à¤¹à¥ˆà¤Ÿà¥à¤°à¤¿à¤• à¤²à¤—à¤¾à¤¨à¥‡ à¤œà¤¾ à¤°à¤¹à¥€ à¤¹à¥ˆ...  à¤­à¤¾à¤œà¤ªà¤¾ à¤°à¤¾à¤·à¥à¤Ÿà¥à¤°à¥€à¤¯ à¤…à¤§à¥à¤¯à¤•à¥à¤· à¤¶à¥à¤°à¥€ @JPNadda à¤¨à¥‡ à¤°à¤¾à¤œà¤¸à¥à¤¥à¤¾à¤¨ à¤•à¥‡ à¤à¤¾à¤²à¤¾à¤µà¤¾à¤¡à¤¼ à¤®à¥‡à¤‚ à¤µà¤¿à¤¶à¤¾à¤² à¤œà¤¨à¤¸à¤­à¤¾ à¤•à¥‹ à¤¸à¤‚à¤¬à¥‹à¤§à¤¿à¤¤ à¤•à¤¿à¤¯à¤¾à¥¤,BJP,"Apr 3, 2024 Â· 12:53 PM UTC",2016,8,515,70
