,link,text,user,date,likes,quotes,retweets,comments
0,https://twitter.com/INCIndia/status/1775516100681208020#m,à¤®à¥ˆà¤‚ à¤¦à¥‡à¤¶ à¤•à¥€ à¤°à¤•à¥à¤·à¤¾ à¤•à¥‹ à¤¤à¥ˆà¤¯à¤¾à¤° à¤ªà¤° à¤®à¥‡à¤°à¤¾ à¤­à¤µà¤¿à¤·à¥à¤¯ à¤…à¤‚à¤§à¤•à¤¾à¤°  à¤®à¥‡à¤°à¥‡ à¤µà¤¿à¤•à¤¾à¤¸ à¤•à¤¾ à¤¦à¥‹ à¤¹à¤¿à¤¸à¤¾à¤¬,Congress,"Apr 3, 2024 Â· 1:30 PM UTC",5861,29,2260,99
1,https://twitter.com/INCIndia/status/1775780778049241309#m,à¤®à¥‹à¤¦à¥€ à¤•à¥€ à¤µà¤¾à¤¶à¤¿à¤‚à¤— à¤®à¤¶à¥€à¤¨,Congress,"Apr 4, 2024 Â· 7:01 AM UTC",1088,4,335,60
2,https://twitter.com/INCIndia/status/1775775685228843372#m,"à¤®à¥ˆà¤‚ à¤¸à¥‹à¤¨à¤¿à¤¯à¤¾ à¤—à¤¾à¤‚à¤§à¥€,  à¤œà¥‹ à¤°à¤¾à¤œà¥à¤¯à¤¸à¤­à¤¾ à¤•à¥€ à¤¸à¤¦à¤¸à¥à¤¯ à¤¨à¤¿à¤°à¥à¤µà¤¾à¤šà¤¿à¤¤ à¤¹à¥à¤ˆ à¤¹à¥‚à¤‚à¥¤ à¤¸à¤¤à¥à¤¯, à¤¨à¤¿à¤·à¥à¤ à¤¾ à¤¸à¥‡ à¤ªà¥à¤°à¤¤à¤¿à¤œà¥à¤žà¤¾ à¤•à¤°à¤¤à¥€ à¤¹à¥‚à¤‚ à¤•à¤¿ à¤®à¥ˆà¤‚ à¤µà¤¿à¤§à¤¿ à¤¦à¥à¤µà¤¾à¤°à¤¾ à¤¸à¥à¤¥à¤¾à¤ªà¤¿à¤¤ à¤­à¤¾à¤°à¤¤ à¤•à¥‡ à¤¸à¤‚à¤µà¤¿à¤§à¤¾à¤¨ à¤•à¥‡ à¤ªà¥à¤°à¤¤à¤¿ à¤¸à¤šà¥à¤šà¥€ à¤¶à¥à¤°à¤¦à¥à¤§à¤¾ à¤µ à¤¨à¤¿à¤·à¥à¤ à¤¾ à¤°à¤–à¥‚à¤‚à¤—à¥€à¥¤  à¤®à¥ˆà¤‚ à¤­à¤¾à¤°à¤¤ à¤•à¥€ à¤ªà¥à¤°à¤­à¥à¤¤à¤¾ à¤µ à¤…à¤–à¤‚à¤¡à¤¤à¤¾ à¤•à¥‹ à¤…à¤•à¥à¤·à¥à¤£à¥à¤£ à¤°à¤–à¥‚à¤‚à¤—à¥€ à¤¤à¤¥à¤¾ à¤œà¤¿à¤¸ à¤ªà¤¦ à¤•à¥‹ à¤®à¥ˆà¤‚ à¤—à¥à¤°à¤¹à¤£ à¤•à¤°à¤¨à¥‡ à¤µà¤¾à¤²à¥€ à¤¹à¥‚à¤‚, à¤‰à¤¸à¤•à¥‡ à¤•à¤°à¥à¤¤à¤µà¥à¤¯à¥‹à¤‚ à¤•à¤¾ à¤¶à¥à¤°à¤¦à¥à¤§à¤¾à¤ªà¥‚à¤°à¥à¤µà¤• à¤¨à¤¿à¤°à¥à¤µà¤¹à¤¨ à¤•à¤°à¥‚à¤‚à¤—à¥€à¥¤",Congress,"Apr 4, 2024 Â· 6:41 AM UTC",3820,8,909,68
3,https://twitter.com/kharge/status/1775759615738679617#m,"My best wishes to the Congress Parliamentary Party Chairperson, Smt. Sonia Gandhi as she begins her new innings, by taking oath in the Rajya Sabha, today.  Her courageous resilience and dignified grace, in the wake of adversity and upheaval, shall continue to guide our Parliamentary strategy.  She has completed 25 years serving the Lok Sabha, and now my fellow members and I await her presence in the Upper House. I wish her a fruitful tenure ahead.",Mallikarjun Kharge,"Apr 4, 2024 Â· 5:37 AM UTC",6644,32,1425,228
4,https://twitter.com/INCIndia/status/1775765052165140501#m,CPP à¤šà¥‡à¤¯à¤°à¤ªà¤°à¥à¤¸à¤¨ à¤¶à¥à¤°à¥€à¤®à¤¤à¥€ à¤¸à¥‹à¤¨à¤¿à¤¯à¤¾ à¤—à¤¾à¤‚à¤§à¥€ à¤œà¥€ à¤•à¥‹ à¤°à¤¾à¤œà¥à¤¯à¤¸à¤­à¤¾ à¤¸à¤¦à¤¸à¥à¤¯ à¤•à¥‡ à¤¤à¥Œà¤° à¤ªà¤° à¤¶à¤ªà¤¥ à¤²à¥‡à¤¨à¥‡ à¤•à¥€ à¤¬à¤§à¤¾à¤ˆà¥¤   à¤ªà¤¿à¤›à¤²à¥‡ 25 à¤¸à¤¾à¤² à¤¸à¥‡ à¤†à¤ª à¤¦à¥‡à¤¶ à¤•à¥‡ à¤†à¤–à¤¼à¤¿à¤°à¥€ à¤µà¥à¤¯à¤•à¥à¤¤à¤¿ à¤•à¥‡ à¤¹à¤•à¤¼ à¤•à¥€ à¤ªà¥à¤°à¤¬à¤² à¤ªà¥ˆà¤°à¥‹à¤•à¤¾à¤° à¤¬à¤¨à¥€ à¤°à¤¹à¥€à¤‚ à¤”à¤° à¤¸à¤¦à¤¨ à¤®à¥‡à¤‚ à¤‰à¤¨à¤•à¥€ à¤†à¤µà¤¾à¤œà¤¼ à¤•à¥‹ à¤¬à¥à¤²à¤‚à¤¦ à¤•à¤°à¤¤à¥€ à¤†à¤ˆ à¤¹à¥ˆà¤‚à¥¤   à¤¦à¥‡à¤¶ à¤•à¥€ à¤œà¤¨à¤¤à¤¾ à¤”à¤° à¤¹à¤° à¤•à¤¾à¤‚à¤—à¥à¤°à¥‡à¤¸à¤œà¤¨ à¤•à¥‹ à¤ªà¥‚à¤°à¥à¤£ à¤µà¤¿à¤¶à¥à¤µà¤¾à¤¸ à¤¹à¥ˆ à¤•à¤¿ à¤°à¤¾à¤œà¥à¤¯à¤¸à¤­à¤¾ à¤®à¥‡à¤‚ à¤†à¤ªà¤•à¥€ à¤—à¤°à¤¿à¤®à¤¾à¤®à¤ˆ à¤‰à¤ªà¤¸à¥à¤¥à¤¿à¤¤à¤¿ à¤œà¤¨à¤¤à¤¾ à¤•à¥‡ à¤¹à¤•à¤¼ à¤”à¤° à¤‰à¤¨à¤•à¥€ à¤®à¤¾à¤‚à¤—à¥‹à¤‚ à¤•à¥‹ à¤”à¤° à¤ªà¥à¤°à¤œà¤¼à¥‹à¤° à¤•à¤°à¥‡à¤—à¥€à¥¤,Congress,"Apr 4, 2024 Â· 5:59 AM UTC",3509,14,745,170
5,https://twitter.com/INCIndia/status/1775750141615497629#m,à¤•à¤¿à¤¸à¤¾à¤¨ à¤¨à¥à¤¯à¤¾à¤¯ ðŸŒ¾  âœ… à¤¬à¥€à¤®à¤¾ à¤¸à¥à¤°à¤•à¥à¤·à¤¾  à¤«à¤¸à¤² à¤¨à¥à¤•à¤¸à¤¾à¤¨ à¤ªà¤° 30 à¤¦à¤¿à¤¨ à¤•à¥‡ à¤…à¤‚à¤¦à¤° à¤¸à¥€à¤§à¥‡ à¤–à¤¾à¤¤à¥‡ à¤®à¥‡à¤‚ à¤ªà¥ˆà¤¸à¤¾ à¤Ÿà¥à¤°à¤¾à¤‚à¤¸à¤«à¤°,Congress,"Apr 4, 2024 Â· 5:00 AM UTC",866,3,384,46
6,https://twitter.com/INCIndia/status/1775738817036931300#m,âœ¨ à¤¨à¤¾à¤°à¥€ à¤¨à¥à¤¯à¤¾à¤¯ âœ¨   âœ… à¤®à¤¹à¤¾à¤²à¤•à¥à¤·à¥à¤®à¥€   à¤—à¤°à¥€à¤¬ à¤ªà¤°à¤¿à¤µà¤¾à¤° à¤•à¥€ à¤à¤• à¤®à¤¹à¤¿à¤²à¤¾ à¤•à¥‹ à¤¸à¤¾à¤²à¤¾à¤¨à¤¾ 1 à¤²à¤¾à¤– à¤°à¥à¤ªà¤,Congress,"Apr 4, 2024 Â· 4:15 AM UTC",2482,26,852,205
7,https://twitter.com/INCIndia/status/1775737558456291375#m,"à¤•à¤¾à¤‚à¤—à¥à¤°à¥‡à¤¸ à¤…à¤§à¥à¤¯à¤•à¥à¤· à¤¶à¥à¤°à¥€ @kharge à¤†à¤œ à¤¦à¥‹à¤ªà¤¹à¤° 2:10 à¤¬à¤œà¥‡ à¤šà¤¿à¤¤à¥à¤¤à¥Œà¤¡à¤¼à¤—à¤¢à¤¼, à¤°à¤¾à¤œà¤¸à¥à¤¥à¤¾à¤¨ à¤®à¥‡à¤‚ à¤µà¤¿à¤¶à¤¾à¤² à¤œà¤¨à¤¸à¤­à¤¾ à¤•à¥‹ à¤¸à¤‚à¤¬à¥‹à¤§à¤¿à¤¤ à¤•à¤°à¥‡à¤‚à¤—à¥‡à¥¤  à¤‰à¤¨à¥à¤¹à¥‡à¤‚ à¤¸à¥à¤¨à¤¨à¥‡ à¤•à¥‡ à¤²à¤¿à¤ à¤¹à¤®à¤¾à¤°à¥‡ à¤¸à¥‹à¤¶à¤² à¤®à¥€à¤¡à¤¿à¤¯à¤¾ à¤¹à¥ˆà¤‚à¤¡à¤²à¥à¤¸ à¤¸à¥‡ à¤œà¥à¤¡à¤¼à¥‡à¤‚-  ðŸ“º https://twitter.com/INCIndia  ðŸ“º https://facebook.com/IndianNationalCongress/  ðŸ“º https://youtube.com/user/indiacongress",Congress,"Apr 4, 2024 Â· 4:10 AM UTC",350,1,166,20
8,https://twitter.com/INCIndia/status/1775727492759961749#m,à¤¦à¥‡à¤¶ à¤•à¥‡ à¤…à¤¨à¥à¤¨à¤¦à¤¾à¤¤à¤¾ à¤•à¥‹ à¤¸à¤²à¤¾à¤®,Congress,"Apr 4, 2024 Â· 3:30 AM UTC",1620,3,516,53
9,https://twitter.com/INCIndia/status/1775717078974222377#m,à¤¯à¥‡ à¤²à¤¡à¤¼à¤¾à¤ˆ à¤¦à¥‡à¤¶ à¤•à¥€ à¤†à¤µà¤¾à¤œ à¤•à¥‡ à¤²à¤¿à¤ à¤¹à¥ˆà¥¤   à¤œà¤¹à¤¾à¤‚ à¤œà¥€à¤¤ INDIA à¤•à¥€ à¤¹à¥‹à¤—à¥€ ðŸ‡®ðŸ‡³,Congress,"Apr 4, 2024 Â· 2:48 AM UTC",2437,13,841,104
10,https://twitter.com/INCIndia/status/1775708617808740479#m,à¤•à¥à¤¯à¤¾ à¤†à¤ª à¤œà¤¾à¤¨à¤¤à¥‡ à¤¹à¥ˆà¤‚ ?,Congress,"Apr 4, 2024 Â· 2:15 AM UTC",442,1,176,52
11,https://twitter.com/INCIndia/status/1775697294639141097#m,"à¤…à¤ªà¤¨à¥€ à¤¨à¤¿à¤°à¥à¤­à¥€à¤• à¤ªà¤¤à¥à¤°à¤•à¤¾à¤°à¤¿à¤¤à¤¾ à¤•à¥‡ à¤®à¤¾à¤§à¥à¤¯à¤® à¤¸à¥‡ à¤°à¤¾à¤·à¥à¤Ÿà¥à¤°à¥€à¤¯ à¤šà¥‡à¤¤à¤¨à¤¾ à¤œà¤¾à¤—à¥ƒà¤¤ à¤•à¤°à¤¨à¥‡ à¤µà¤¾à¤²à¥‡ à¤à¤µà¤‚ à¤…à¤ªà¤¨à¥€ à¤•à¤µà¤¿à¤¤à¤¾, à¤¨à¤¿à¤¬à¤‚à¤§ à¤”à¤° à¤•à¤¹à¤¾à¤¨à¤¿à¤¯à¥‹à¤‚ à¤•à¥‡ à¤œà¤°à¤¿à¤ à¤¸à¤®à¤¾à¤œ à¤¸à¥‡ à¤¬à¤¾à¤¤ à¤•à¤°à¤¨à¥‡ à¤µà¤¾à¤²à¥‡ à¤ªà¤¦à¥à¤®à¤­à¥‚à¤·à¤£ à¤¸à¤®à¥à¤®à¤¾à¤¨à¤¿à¤¤ à¤¶à¥à¤°à¥€ à¤®à¤¾à¤–à¤¨à¤²à¤¾à¤² à¤šà¤¤à¥à¤°à¥à¤µà¥‡à¤¦à¥€ à¤œà¥€ à¤•à¥€ à¤œà¤¯à¤‚à¤¤à¥€ à¤ªà¤° à¤¸à¤¾à¤¦à¤° à¤¨à¤®à¤¨à¥¤",Congress,"Apr 4, 2024 Â· 1:30 AM UTC",608,4,190,27
12,https://twitter.com/INCIndia/status/1775562266605486472#m,à¤† à¤°à¤¹à¥€ à¤¹à¥ˆ à¤•à¤¾à¤‚à¤—à¥à¤°à¥‡à¤¸.. âœ‹ðŸ¼,Congress,"Apr 3, 2024 Â· 4:33 PM UTC",11203,52,2499,369
13,https://twitter.com/INCIndia/status/1775543690712531167#m,"à¤•à¤¾à¤‚à¤—à¥à¤°à¥‡à¤¸ à¤…à¤§à¥à¤¯à¤•à¥à¤· à¤¶à¥à¤°à¥€ @kharge à¤•à¥€ à¤…à¤§à¥à¤¯à¤•à¥à¤·à¤¤à¤¾ à¤®à¥‡à¤‚ à¤†à¤¯à¥‹à¤œà¤¿à¤¤ 'à¤•à¥‡à¤‚à¤¦à¥à¤°à¥€à¤¯ à¤šà¥à¤¨à¤¾à¤µ à¤¸à¤®à¤¿à¤¤à¤¿' à¤•à¥€ à¤¬à¥ˆà¤ à¤• à¤®à¥‡à¤‚ à¤²à¥‹à¤•à¤¸à¤­à¤¾ à¤šà¥à¤¨à¤¾à¤µ, 2024 à¤•à¥‡ à¤²à¤¿à¤ à¤•à¤¾à¤‚à¤—à¥à¤°à¥‡à¤¸ à¤‰à¤®à¥à¤®à¥€à¤¦à¤µà¤¾à¤°à¥‹à¤‚ à¤•à¥‡ à¤¨à¤¾à¤® à¤•à¥€ à¤²à¤¿à¤¸à¥à¤Ÿà¥¤",Congress,"Apr 3, 2024 Â· 3:19 PM UTC",2147,21,421,79
14,https://twitter.com/INCIndia/status/1775541265217761728#m,à¤¨à¥à¤¯à¤¾à¤¯ à¤•à¤¾à¤²                                      à¤…à¤¨à¥à¤¯à¤¾à¤¯ à¤•à¤¾à¤²,Congress,"Apr 3, 2024 Â· 3:10 PM UTC",3088,62,1159,471
15,https://twitter.com/INCIndia/status/1775531201136357809#m,à¤®à¥‹à¤¦à¥€ à¤µà¤¾à¤¶à¤¿à¤‚à¤— à¤®à¤¶à¥€à¤¨   à¤­à¥à¤°à¤·à¥à¤Ÿà¤¾à¤šà¤¾à¤° à¤•à¥‡ à¤¸à¤¾à¤°à¥‡ à¤¦à¤¾à¤— à¤®à¤¿à¤Ÿà¤¾ à¤¦à¥‡ à¤¸à¤¾à¤°à¥‡ à¤•à¤¾à¤²à¥‡ à¤•à¤¾à¤°à¤¨à¤¾à¤®à¥‡ à¤ªà¤² à¤®à¥‡à¤‚ à¤›à¤¿à¤ªà¤¾ à¤¦à¥‡,Congress,"Apr 3, 2024 Â· 2:30 PM UTC",4712,30,1894,89
16,https://twitter.com/INCIndia/status/1775522082346217600#m,à¤®à¥‹à¤¦à¥€ à¤®à¤¤à¤²à¤¬ à¤®à¤¹à¤‚à¤—à¤¾à¤ˆ à¤•à¥€ à¤—à¤¾à¤°à¤‚à¤Ÿà¥€,Congress,"Apr 3, 2024 Â· 1:53 PM UTC",2575,14,1199,93
17,https://twitter.com/Jairam_Ramesh/status/1775518781361496370#m,"Mr. Amit Malviya, BJP's troll master, has reached a new height of absurdity and malicious deceit today. He is well known for lying about statistics, but today he has decided to invent a new statistic to lie about!  Dr. Manmohan Singh is retiring today after 33 years in public service. Instead of showing him even a little respect, and having even a tiny shred of decency, he has chosen to slander Dr. Manmohan Singh. Neither Mr. Narendra Modi nor Mr. Malviya can ever even remotely approach Dr. Manmohan Singh's contributions to the making of modern India. He is a man who speaks little and accomplishes much. He is a man who never indulges in self-glory but is prepared to give credit to others, including critics and opponents, where it is due. He is the symbol of simplicity, austerity, and integrity.  Instead of these nonsensical distortions that sprang from Mr. Malviyaâ€™s overactive imagination, here are the plain and simple facts on GDP per capita, based on IMF data:  From 2004-2014, Indiaâ€™s nominal GDP per capita went from $635 to $1560 - a growth of 145% From 2014-2024, Indiaâ€™s nominal GDP per capita went from $1560 to $2850 - a growth of 82%   Indiaâ€™s total GDP, adjusted for inflation, grew by 7.5% per year under Dr. Singh, compared to just 5.8% under Modi  The 10 years of Dr. Manmohan Singhâ€™s tenure transformed Indiaâ€™s economy and society for the better:   â€¢  27 crore people were lifted out of poverty  â€¢  Legislation like MGNREGA and the National Food Security Act provided a lifeline to Indiaâ€™s people, whether they were in poverty, dealing with the shocks of demonetisation or COVID, or unable to find employment  â€¢  Real wages for unskilled labourers grew 285%, compared to just 60% during Modiâ€™s misrule  â€¢  MSP for paddy grew by 140%, versus just 55% under the kisaan-virodhi BJP  â€¢  Foreign Direct Investment doubled, from 0.8% to 1.7% of GDP. Under Modi, it has fallen to just 1.5% of GDP  â€¢  Exports grew by 320%, vs just 50% in the last 10 years  â€¢  Development is defined by people shifting from farming and unstable self-employment to factories and stable, salaried jobs. Dr. Singh oversaw a record shift away from agriculture â€“ under Modi, there has instead been an unprecedented increase in the absolute number of people employed in agriculture  â€¢  Under Dr. Singh, salaried workers increased from 18.5% to 23% of all workers, while self-employment decreased from 55% to 51%. The reverse has happened under Modi - salaried workers have decrease from 23% to 21%, while self-employed have increased from 51% to 57%   By every yardstick, the last ten years have been a dark decade for our economy. The people of India and their personal stories of distress are a testament to this. We will all bear witness on the 4th of June.",Jairam Ramesh,"Apr 3, 2024 Â· 1:40 PM UTC",5966,73,2609,298
18,https://twitter.com/INCIndia/status/1775504774793765151#m,Modi Ki Washing Machine: Sab Paap Dhul Jaate Hai,Congress,"Apr 3, 2024 Â· 12:45 PM UTC",7390,57,2820,386
19,https://twitter.com/INCIndia/status/1775498554187931958#m,à¤†à¤ªà¤•à¥‡ à¤°à¤¾à¤¹à¥à¤² à¤—à¤¾à¤‚à¤§à¥€ â¤ï¸,Congress,"Apr 3, 2024 Â· 12:20 PM UTC",10040,39,2142,158
