,link,text,user,date,likes,quotes,retweets,comments
0,https://twitter.com/cpimspeak/status/1775806764761399387#m,"The CPI(M) calls for urgent reduction in duties on petroleum, controlling price rise, and restoring supply of subsidized grains, along with implementing a Universal Public Healthcare System. #CPIMManifesto",CPI (M),"Apr 4, 2024 Â· 8:45 AM UTC",14,2,8,2
1,https://twitter.com/cpimspeak/status/1775806499639415260#m,"Kerala Chief Minister and Polit Bureau Member, Comrade Pinarayi Vijayan, is not only tirelessly campaigning for various LDF candidates but also passionately urging voters to support the LDF for its pro-people alternative policies. He emphasizes that the LDF offers a transformative agenda focused on addressing the needs and aspirations of all sections of society, particularly the marginalized and disadvantaged.",CPI (M),"Apr 4, 2024 Â· 8:43 AM UTC",10,0,5,0
2,https://twitter.com/cpimspeak/status/1775805506256580729#m,"The CPI(M) is committed to protecting Indiaâ€™s economic sovereignty, revisiting privatization, implementing pro-worker laws, and ensuring farmers' security through MSP guarantees. #CPIMManifesto",CPI (M),"Apr 4, 2024 Â· 8:40 AM UTC",24,5,12,2
3,https://twitter.com/cpimspeak/status/1775804849503830351#m,#CPIMManifesto,CPI (M),"Apr 4, 2024 Â· 8:37 AM UTC",18,0,8,0
4,https://twitter.com/cpimspeak/status/1775804248069939233#m,"The CPI(M) advocates for scrapping draconian laws like UAPA and PMLA, protecting independent institutions' autonomy, and defending people's democratic rights. #CPIMManifesto",CPI (M),"Apr 4, 2024 Â· 8:35 AM UTC",50,10,29,5
5,https://twitter.com/cpimspeak/status/1775803915100897522#m,#CPIMManifesto,CPI (M),"Apr 4, 2024 Â· 8:33 AM UTC",19,1,10,1
6,https://twitter.com/cpimspeak/status/1775802990923788371#m,"The CPI(M) pledges unwavering adherence to the principle of separating religion from politics, State, government, and administration. It will advocate for a law against hate speech and crimes, and is committed to scrapping the CAA. #CPIMManifesto",CPI (M),"Apr 4, 2024 Â· 8:30 AM UTC",92,13,42,10
7,https://twitter.com/cpimspeak/status/1775535763423121778#m,"Comrade M. P. Munivenkatappa, the CPI(M) candidate for the Chikkaballapur Lok Sabha Constituency of Karnataka, filed nomination papers today in Chikkaballapura. Comrade U. Basavaraj, Secretary, Comrades Meenakshisundaram & S. Varalaxmi, Secretariat Members, and Comrade Dr. Anil Kumar, Chikkaballapura District Secretariat member, accompanied him. Polling in the constituency will be held on April 26th.  A procession was held from Vokalligara Bhavana to Vyapasandra, where a well-attended public meeting took place. CPIM Politburo member Comrade B. V. Raghavulu criticized the performance of the 10 years of Modi Government, which was filled with lies. In terms of policies and record of performance in defending interests and addressing problems of people of the constituency or state, both BJP and Congress have failed. Hence, he appealed to people to vote for CPI(M), which alone provided an alternative. Comrades M. P. Munivenkatappa, S. Varalaxmi, and Dr. Anil Kumar also spoke at the public meeting.  State Secretariat Members, District Secretaries of Bangalore South, North, Rural DCs, and other leaders were present at the Dias.  Comrade M. P. Munivenkatappa is currently the Secretary of the Chikkaballapura DC and Secretariat Member of the State Committee.",CPI (M),"Apr 3, 2024 Â· 2:48 PM UTC",110,0,20,3
8,https://twitter.com/cpimspeak/status/1775516102304706789#m,"Comrade Vijoo Krishnan Writes:  To ensure a pro-farmer, pro-worker alternative, to defend our democracy, federal rights and secularism, farmers and workers will work unitedly to ensure defeat of the Modi Government. Read more on Views That Matter...  https://cpim.org/views/guarantees-modi-government-betrayal",CPI (M),"Apr 3, 2024 Â· 1:30 PM UTC",66,0,18,0
9,https://twitter.com/cpimspeak/status/1775505315275866207#m,CPI(M) Manifesto to be released tomorrow. Watch Live on our Facebook Page..,CPI (M),"Apr 3, 2024 Â· 12:47 PM UTC",345,8,81,33
10,https://twitter.com/cpimspeak/status/1775485901600436437#m,Save Agriculture! Save Farmers and Agricultural Workers!! Defeat BJP!!!,CPI (M),"Apr 3, 2024 Â· 11:30 AM UTC",75,0,25,0
11,https://twitter.com/cpimspeak/status/1775472088276402185#m,Stop Communalising Sainik Schools  The Polit Bureau of the Communist Party of India (Marxist) notes with deep concern the report that the BJP-led Union government has facilitated the participation of private players to run Sainik Schools in India.  Sainink Schools have been traditionally run by the autonomous Sainik School Society under the Ministry ofÂ  Defence. The Sainik Schools play an important role in nurturing students to get entry to the premiere National Defence Academy and the Indian Naval Academy. Eventually a substantial number of Sainik School pass outs occupy the higher echelons of Indiaâ€™s defence forces.  This new policy is just not about sharing finances and infrastructure on a PPP model. The schools that are entering into agreement with SSS and the government include a significant number of institutions with avowedly RSS and BJP links.  The Polit Bureau of the CPI(M) condemns this move which reinforces the trend of communalising education and potential for profoundly impacting the high secular standards of our military establishments. The Polit Bureau demands that the government must withdraw this move to ensure the national and secular character of the Sainik Schools is maintained.,CPI (M),"Apr 3, 2024 Â· 10:35 AM UTC",620,13,288,18
12,https://twitter.com/cpimspeak/status/1775470801476887002#m,Save Agriculture! Save Farmers and Agricultural Workers!! Defeat BJP!!! BJP Govt Policies Have Destroyed Rural Households,CPI (M),"Apr 3, 2024 Â· 10:30 AM UTC",58,0,21,0
13,https://twitter.com/cpimspeak/status/1775455701206212698#m,Data from the surveys of the National Sample Survey Office (NSSO) shows that about 41 per cent of the rural households did not own any agricultural land in 2018-19.,CPI (M),"Apr 3, 2024 Â· 9:30 AM UTC",76,0,26,5
14,https://twitter.com/cpimspeak/status/1775440395264024864#m,"Save Agriculture! Save Farmers and Agricultural Workers!! Defeat BJP!!!  In sum, the growth of wage rates in rural areas virtually collapsed for all agricultural and non-agricultural occupations in the last nine years from 2014-15 to 2022-23. In real terms, wage rates for various agricultural occupations increased by less than ten to twelve rupees from 2014-15 to 2022-23. For majority of occupations, the growth in real wages was less than one per cent per annum between 2014-15 and 2022-23.",CPI (M),"Apr 3, 2024 Â· 8:29 AM UTC",125,3,42,24
15,https://twitter.com/cpimspeak/status/1775431430820028885#m,"Meet Our Candidate:   MD Jahangir, born in 1970 in Munipampula village of Ramannapet mandal in Yadadribhuvanagiri District, emerged from humble beginnings to become a prominent figure in local politics. Joining the SFI student union during his college years, he quickly rose through the ranks, completing his education in Ramannapet and Hyderabad. Returning to his village, Jahangir embarked on a dynamic political journey, winning the position of Munipampula Gram Panchayat Sarpanch in 1995 at a remarkably young age. Concurrently, he galvanized youth activism as the secretary of the DYFI division, advocating against policies perceived as unjust by central and state governments.  As CPI(M) Party Divisional Secretary, Jahangir led numerous public struggles, from hunger strikes for housing sites to addressing local public issues in Nakirekal Constituency. Post the formation of Telangana state, he assumed the role of District Secretary of Yadadri Bhuvanagiri, where he tirelessly fought for public welfare. Organizing extensive yatras across 180 villages, Jahangir addressed critical local issues such as cultivation, drinking water, pollution, land, and unemployment. His advocacy extended to pressing matters like proper irrigation facilities, industrial pollution, and employment opportunities for local youth. Jahangir's leadership spearheaded mass protests and dharnas, resulting in tangible outcomes such as securing funds for pollution control measures and rehabilitation efforts under the Baswapur project. The CPI(M) stands firmly behind Jahangir, advocating for his candidacy for Parliament to continue his impactful contributions to constituency development.",CPI (M),"Apr 3, 2024 Â· 7:53 AM UTC",177,1,25,8
16,https://twitter.com/cpimspeak/status/1775191055635243050#m,"Modi Government Has Destroyed MGNREGA. Save MGNREGA, Defeat BJP",CPI (M),"Apr 2, 2024 Â· 3:58 PM UTC",176,1,53,6
17,https://twitter.com/cpimspeak/status/1775172893971775848#m,"It is imperative that justice is served, and accountability is upheld for these acts of aggression.",CPI (M),"Apr 2, 2024 Â· 2:46 PM UTC",91,1,33,13
18,https://twitter.com/cpimspeak/status/1775156889023582218#m,"To Save Democracy, Defeat the BJP, and Vote for Left",CPI (M),"Apr 2, 2024 Â· 1:42 PM UTC",374,9,97,17
19,https://twitter.com/cpimspeak/status/1775138612390084817#m,"Preserve MGNREGA, Reject BJP: Empowering Rural Livelihoods",CPI (M),"Apr 2, 2024 Â· 12:30 PM UTC",104,1,33,1
20,https://twitter.com/cpimspeak/status/1775123512451293202#m,"Defend MGNREGA, Defeat BJP",CPI (M),"Apr 2, 2024 Â· 11:30 AM UTC",100,0,29,4
21,https://twitter.com/cpimspeak/status/1775108414139675105#m,BJP's assault on MGNREGA demonstrates a disregard for the welfare of rural citizens. Let's unite to ensure their defeat in the upcoming Lok Sabha elections and safeguard essential social programs.,CPI (M),"Apr 2, 2024 Â· 10:30 AM UTC",75,2,25,2
22,https://twitter.com/cpimspeak/status/1775090797215461858#m,Attacking MGNREGA reflects BJP's disconnect with the needs of millions of rural Indians. Let's ensure their defeat in the upcoming Lok Sabha elections and uphold crucial welfare programs for the marginalized.,CPI (M),"Apr 2, 2024 Â· 9:20 AM UTC",71,0,21,4
23,https://twitter.com/cpimspeak/status/1775067980008751604#m,"West Bengal: Ground level electoral campaign activities of various CPI(M) candidates continues in the state. CPI(M) candidates are being warmly received by the common people everywhere. The candidates are advocating for the Left alternative, encouraging voters to support policies that prioritize people's interests and calling for the defeat of both TMC and BJP.  These are glimpses from our rallies and public interactions, being carried out by CPI(M) candidates comrades, SM Sadi, Md Salim, Srijan Bhattacharya, Manadip Ghosh, Biplab Kumar Mitra and Sujan Chakraborty who are contesting from Krishnanagar, Murshidabad, Jadavpur, Hooghly, Arambag and Dum Dum Lok Sabha constituencies, respectively.",CPI (M),"Apr 2, 2024 Â· 7:49 AM UTC",222,0,50,4
24,https://twitter.com/cpimspeak/status/1774862713455567145#m,"Vadakara, Kerala: Massive mobilisation of women in support of KK Shailaja, LDF supported CPI(M) candidate. Thousands of marching, enthusiastic women took over the town in a historic womenâ€™s show of support to Sailaja and the LDF.  The procession and public meeting was joined by comrade Brinda Karat who inaugurated the meeting. The march was organised by the LDF womenâ€™s organisations. The public meeting was presided over by Smt Sreeja of the RJD womenâ€™s wing.",CPI (M),"Apr 1, 2024 Â· 6:13 PM UTC",311,1,74,0
25,https://twitter.com/cpimspeak/status/1774858324913311786#m,"Kannur Youth-Student Convention and Interaction Pledges Support to LDF supported CPI(M) candidate MV Jairajan.   At a packed auditorium of youth and students, organised by the LDF Youth Student Alliance - PBM Brinda Karat spoke on the 2024 elections and challenges we face and the big role that Kerala is playing in this battle.  It was followed by Q&A session. The enthusiastic anticipation was followed by the release of a video song by comrade PK Srimati.",CPI (M),"Apr 1, 2024 Â· 5:56 PM UTC",128,1,27,0
